"Obs";"Data";"Dia da semana";"Sabor";"Valor";"Satis geral";"Sabor aval";"Rapidez aval";"Preço aval";"Comun aval"
"1";44381;"segunda-feira";"Frango";31;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável";"3-Razoável"
"2";44381;"segunda-feira";"Frango";31;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável";"3-Razoável"
"3";44381;"segunda-feira";"Palmito";27;"2-Satisfeito";"1-Excelente";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito"
"4";44381;"segunda-feira";"Atum";35;"1-Excelente";"3-Razoável";"3-Razoável";"3-Razoável";"2-Satisfeito"
"5";44381;"segunda-feira";"Muçarela";23;"1-Excelente";"2-Satisfeito";"3-Razoável";"2-Satisfeito";"2-Satisfeito"
"6";44381;"segunda-feira";"Marguerita";29;"4-Insatisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável";"1-Excelente"
"7";44381;"segunda-feira";"Portuguesa";40;"2-Satisfeito";"1-Excelente";"3-Razoável";"2-Satisfeito";"3-Razoável"
"8";44381;"segunda-feira";"Frango";31;"3-Razoável";"1-Excelente";"3-Razoável";"2-Satisfeito";"2-Satisfeito"
"9";44381;"segunda-feira";"Atum";35;"1-Excelente";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito"
"10";44381;"segunda-feira";"Atum";35;"2-Satisfeito";"2-Satisfeito";"4-Insatisfeito";"3-Razoável";"3-Razoável"
"11";44381;"segunda-feira";"Frango";31;"2-Satisfeito";"4-Insatisfeito";"3-Razoável";"3-Razoável";"3-Razoável"
"12";44381;"segunda-feira";"Napolitana";28;"3-Razoável";"3-Razoável";"2-Satisfeito";"3-Razoável";"1-Excelente"
"13";44381;"segunda-feira";"Portuguesa";40;"3-Razoável";"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito"
"14";44381;"segunda-feira";"Muçarela";23;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável";"1-Excelente"
"15";44381;"segunda-feira";"Portuguesa";40;"4-Insatisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável";"3-Razoável"
"16";44381;"segunda-feira";"Napolitana";28;"3-Razoável";"3-Razoável";"3-Razoável";"3-Razoável";"1-Excelente"
"17";44381;"segunda-feira";"Muçarela";23;"2-Satisfeito";"3-Razoável";"4-Insatisfeito";"3-Razoável";"1-Excelente"
"18";44382;"terça-feira";"Napolitana";28;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável";"1-Excelente"
"19";44382;"terça-feira";"Muçarela";23;"1-Excelente";"2-Satisfeito";"3-Razoável";"2-Satisfeito";"2-Satisfeito"
"20";44382;"terça-feira";"Quatro queijos";32;"2-Satisfeito";"4-Insatisfeito";"3-Razoável";"3-Razoável";"1-Excelente"
"21";44382;"terça-feira";"Napolitana";28;"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito";"1-Excelente"
"22";44382;"terça-feira";"Pepperone";30;"2-Satisfeito";"3-Razoável";"2-Satisfeito";"3-Razoável";"2-Satisfeito"
"23";44382;"terça-feira";"Napolitana";28;"1-Excelente";"2-Satisfeito";"3-Razoável";"2-Satisfeito";"3-Razoável"
"24";44382;"terça-feira";"Muçarela";23;"1-Excelente";"3-Razoável";"3-Razoável";"3-Razoável";"4-Insatisfeito"
"25";44382;"terça-feira";"Calabresa";25;"1-Excelente";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito"
"26";44382;"terça-feira";"Muçarela";23;"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável"
"27";44382;"terça-feira";"Calabresa";25;"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito"
"28";44382;"terça-feira";"Napolitana";28;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável";"1-Excelente"
"29";44382;"terça-feira";"Napolitana";28;"1-Excelente";"2-Satisfeito";"3-Razoável";"2-Satisfeito";"3-Razoável"
"30";44382;"terça-feira";"Pepperone";30;"2-Satisfeito";"3-Razoável";"2-Satisfeito";"2-Satisfeito";"3-Razoável"
"31";44382;"terça-feira";"Atum";35;"2-Satisfeito";"3-Razoável";"3-Razoável";"3-Razoável";"2-Satisfeito"
"32";44382;"terça-feira";"Pepperone";30;"1-Excelente";"3-Razoável";"3-Razoável";"2-Satisfeito";"2-Satisfeito"
"33";44382;"terça-feira";"Pepperone";30;"1-Excelente";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito"
