Macrotrends Data Download

Brazil GDP Growth Rate 1961-2021


"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY"
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


, , , 
date, GDP Growth (%), Annual Change
1961-12-31,10.2759
1962-12-31,5.2161,-5.06
1963-12-31,0.8747,-4.34
1964-12-31,3.4856,2.61
1965-12-31,3.0535,-0.43
1966-12-31,4.1504,1.1
1967-12-31,4.9153,0.76
1968-12-31,11.4273,6.51
1969-12-31,9.7358,-1.69
1970-12-31,8.7699,-0.97
1971-12-31,11.2951,2.53
1972-12-31,12.0528,0.76
1973-12-31,13.9787,1.93
1974-12-31,9.0421,-4.94
1975-12-31,5.2091,-3.83
1976-12-31,9.7904,4.58
1977-12-31,4.6063,-5.18
1978-12-31,3.2317,-1.37
1979-12-31,6.7663,3.53
1980-12-31,9.111,2.34
1981-12-31,-4.3934,-13.5
1982-12-31,0.5802,4.97
1983-12-31,-3.4098,-3.99
1984-12-31,5.2691,8.68
1985-12-31,7.9459,2.68
1986-12-31,7.9883,0.04
1987-12-31,3.5996,-4.39
1988-12-31,-0.1027,-3.7
1989-12-31,3.2795,3.38
1990-12-31,-3.1024,-6.38
1991-12-31,1.5119,4.61
1992-12-31,-0.4669,-1.98
1993-12-31,4.6652,5.13
1994-12-31,5.3346,0.67
1995-12-31,4.4167,-0.92
1996-12-31,2.2075,-2.21
1997-12-31,3.3948,1.19
1998-12-31,0.3381,-3.06
1999-12-31,0.4679,0.13
2000-12-31,4.3879,3.92
2001-12-31,1.3899,-3
2002-12-31,3.0535,1.66
2003-12-31,1.1408,-1.91
2004-12-31,5.76,4.62
2005-12-31,3.2021,-2.56
2006-12-31,3.962,0.76
2007-12-31,6.0699,2.11
2008-12-31,5.0942,-0.98
2009-12-31,-0.1258,-5.22
2010-12-31,7.5282,7.65
2011-12-31,3.9744,-3.55
2012-12-31,1.9212,-2.05
2013-12-31,3.0048,1.08
2014-12-31,0.504,-2.5
2015-12-31,-3.5458,-4.05
2016-12-31,-3.2759,0.27
2017-12-31,1.3229,4.6
2018-12-31,1.7837,0.46
2019-12-31,1.4112,-0.37
2020-12-31,-4.059,-5.47
