Macrotrends Data Download

Brazil Unemployment Rate 1991-2021


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, Unemployment Rate (%), Annual Change, 
1991-12-31,6.37
1992-12-31,6.42,0.05
1993-12-31,6.03,-0.39
1994-12-31,6.24,0.21
1995-12-31,6.42,0.18
1996-12-31,7.25,0.83
1997-12-31,8.16,0.91
1998-12-31,9.42,1.26
1999-12-31,10.21,0.79
2000-12-31,9.9,-0.31
2001-12-31,9.61,-0.29
2002-12-31,9.37,-0.24
2003-12-31,9.99,0.62
2004-12-31,9.11,-0.88
2005-12-31,9.57,0.46
2006-12-31,8.64,-0.93
2007-12-31,8.33,-0.31
2008-12-31,7.34,-0.99
2009-12-31,8.52,1.18
2010-12-31,7.73,-0.79
2011-12-31,6.92,-0.81
2012-12-31,7.19,0.27
2013-12-31,6.98,-0.21
2014-12-31,6.66,-0.32
2015-12-31,8.43,1.77
2016-12-31,11.6,3.17
2017-12-31,12.82,1.22
2018-12-31,12.33,-0.49
2019-12-31,11.93,-0.4
2020-12-31,13.67,1.74
