Y;X1;X2;X3
9;9;9;9
10;10;9;9
9;10;9;9
5;8;7;7
10;9;10;10
9;10;9;7
6;7;8;6
10;10;10;10
10;10;7;8
9;9;5;9
8;9;8;10
6;6;7;7
10;10;8;5
8;8;8;9
10;10;9;9
10;10;10;10
8;8;9;8
10;8;6;10
9;9;7;9
10;10;8;9
0;10;10;10
8;6;3;3
10;10;9;10
9;9;8;8
10;10;9;9
9;8;10;8
10;7;10;8
9;10;10;9
10;9;9;8
9;7;7;6
8;7;7;7
10;10;9;10
8;8;8;9
9;9;5;5
9;9;8;8
5;2;4;2
9;9;9;9
10;9;9;9
10;7;7;8
8;8;8;8
10;10;10;10
9;10;8;10
10;10;10;10
10;10;9;10
10;10;8;9
10;10;10;10
8;9;10;10
9;10;8;10
10;8;7;8
10;10;9;8
10;10;10;10
10;10;10;10
8;8;8;6
8;10;7;5
10;9;9;7
10;10;10;10
10;10;10;10
7;10;0;0
9;8;10;10
10;10;10;10
10;10;10;10
10;10;8;8
8;8;8;8
10;10;8;10
5;7;8;7
10;10;6;10
10;8;8;8
10;9;5;5
10;10;9;9
10;10;10;10
10;10;8;8
10;10;8;6
10;10;10;10
10;10;10;10
5;6;6;6
8;8;9;8
7;8;7;7
10;10;10;10
6;5;6;6
6;9;8;8
9;10;7;7
10;10;8;9
5;5;5;4
9;10;8;8
8;9;5;5
10;10;9;8
5;7;7;7
5;8;7;6
9;10;9;10
0;2;6;3
8;8;10;9
9;10;8;9
9;7;7;8
10;10;10;10
7;9;7;10
10;10;10;7
7;8;5;3
10;9;9;9
8;10;8;10
10;10;8;9
10;10;10;10
10;9;8;8
10;10;7;10
10;10;10;9
7;9;7;7
0;0;7;6
10;10;9;10
9;9;9;10
9;10;10;10
9;10;8;9
8;8;8;8
8;8;6;9
8;10;10;10
10;10;9;9
9;10;10;10
9;8;7;7
7;7;10;10
10;10;8;9
10;10;7;8
10;8;8;10
10;10;10;10
9;9;9;9
10;10;9;10
10;10;10;10
9;10;8;8
10;10;9;10
9;9;8;9
10;10;10;8
10;10;8;8
10;10;8;10
7;8;6;7
10;9;7;9
9;9;9;8
10;10;6;6
7;8;7;8
6;5;7;6
10;10;10;10
8;10;8;8
9;10;7;9
8;8;5;7
8;7;8;7
8;10;7;8
9;8;5;5
8;7;8;7
10;10;9;9
4;5;9;9
7;8;9;9
9;10;9;9
8;7;8;8
10;10;10;10
8;9;8;8
10;10;9;10
10;10;10;10
9;9;9;10
8;9;8;9
10;10;10;10
7;7;7;9
0;0;8;0
10;10;10;10
7;9;6;9
10;10;8;10
10;10;10;10
7;7;7;6
7;6;5;7
8;9;7;9
10;8;8;10
8;6;8;8
10;10;10;10
7;8;8;8
10;10;10;10
10;10;8;7
10;10;10;10
7;8;8;9
9;7;4;10
10;8;6;9
10;10;9;9
10;10;10;10
10;10;10;10
10;7;6;6
10;9;7;5
7;10;8;10
10;10;10;10
10;10;7;10
8;9;8;8
10;10;8;9
10;9;9;9
9;10;5;5
10;10;8;8
8;9;7;9
9;10;10;10
9;8;9;8
10;10;10;10
10;8;7;8
10;10;9;9
9;10;9;9
9;10;8;9
10;10;8;8
9;8;9;7
4;10;8;8
7;8;7;7
10;10;7;10
